Text,Case_Folding,Cleaning_Text,Normalisasi_Text,Formalisasi_Text,Remove_Text,Stemming_Text,Tokenize_Text,Processed_Text,Polarity Score,Labels
aku boleh ikut gak (lesbi dikit),aku boleh ikut gak (lesbi dikit),aku boleh ikut gak lesbi dikit,saya boleh ikut tidak lesbi sedikit ,saya boleh ikut tidak lesbi sedikit,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
ih lesbi,ih lesbi,ih lesbi,ih lesbi,ih lesbi,ih lesbi,ih lesbi,"['ih', 'lesbi']",ih lesbi,0,Neutral
"biarin aja dia, kasian dayana keciduk lesbi","biarin aja dia, kasian dayana keciduk lesbi",biarin aja dia kasian dayana keciduk lesbi,biarin saja  dia kasihan  dayana keciduk lesbi,biarin saja dia kasihan dayana keciduk lesbi,biarin kasihan dayana keciduk lesbi,biarin kasihan dayana ciduk lesbi,"['biarin', 'kasihan', 'dayana', 'ciduk', 'lesbi']",biarin kasihan dayana ciduk lesbi,1,Positive
Kapan ga lesbi emg?,kapan ga lesbi emg?,kapan ga lesbi emg,kapan tidak lesbi memang,kapan tidak lesbi memang,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
WKWKWKKWKWKWK PRESIDEN LESBI,wkwkwkkwkwkwk presiden lesbi,wkwkwkkwkwkwk presiden lesbi,wkwkwkkwkwkwk presiden lesbi,wkwkwkkwkwkwk presiden lesbi,wkwkwkkwkwkwk presiden lesbi,wkwkwkkwkwkwk presiden lesbi,"['wkwkwkkwkwkwk', 'presiden', 'lesbi']",wkwkwkkwkwkwk presiden lesbi,3,Positive
ada lesbi yg lain knp gua?,ada lesbi yg lain knp gua?,ada lesbi yg lain knp gua,ada lesbi yang  lain kenapa saya ,ada lesbi yang lain kenapa saya,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
Udh lesbi sange lagi,udh lesbi sange lagi,udh lesbi sange lagi,sudah lesbi sange lagi,sudah lesbi sange lagi,lesbi sange,lesbi sange,"['lesbi', 'sange']",lesbi sange,-5,Negative
"dia juga ngakak untungnya, ga tau gue lesbi","dia juga ngakak untungnya, ga tau gue lesbi",dia juga ngakak untungnya ga tau gue lesbi,dia juga terbahak-bahak  untungnya tidak tahu saya lesbi,dia juga terbahak-bahak untungnya tidak tahu saya lesbi,terbahak-bahak untungnya lesbi,bahak untung lesbi,"['bahak', 'untung', 'lesbi']",bahak untung lesbi,3,Positive
lesbi di sini  mauu temenan,lesbi di sini  mauu temenan,lesbi di sini mauu temenan,lesbi di sini mauu temenan,lesbi di sini mauu temenan,lesbi mauu temenan,lesbi mauu temenan,"['lesbi', 'mauu', 'temenan']",lesbi mauu temenan,-2,Negative
Lesbi aja yuk,lesbi aja yuk,lesbi aja yuk,lesbi saja  yuk,lesbi saja yuk,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
udh saatnya purapura ga lesbi,udh saatnya purapura ga lesbi,udh saatnya purapura ga lesbi,sudah saatnya purapura tidak lesbi,sudah saatnya purapura tidak lesbi,purapura lesbi,purapura lesbi,"['purapura', 'lesbi']",purapura lesbi,0,Neutral
Liat geli.. kan sekarang juga banyak wanita lesbi ga mau nikah2 ternyata itu wanita punya penyakit lebis ga suka cowo,liat geli.. kan sekarang juga banyak wanita lesbi ga mau nikah2 ternyata itu wanita punya penyakit lebis ga suka cowo,liat geli kan sekarang juga banyak wanita lesbi ga mau nikah ternyata itu wanita punya penyakit lebis ga suka cowo,liat geli kan sekarang juga banyak wanita lesbi tidak mau nikah ternyata itu wanita punya penyakit lebis tidak suka cowok ,lihat; geli kan sekarang juga banyak wanita lesbi tidak mau nikah ternyata itu wanita punya penyakit lebis tidak suka cowok,lihat; geli wanita lesbi nikah wanita penyakit lebis suka cowok,lihat geli wanita lesbi nikah wanita sakit lebis suka cowok,"['lihat', 'geli', 'wanita', 'lesbi', 'nikah', 'wanita', 'sakit', 'lebis', 'suka', 'cowok']",lihat geli wanita lesbi nikah wanita sakit lebis suka cowok,1,Positive
"Taunya dia jga ""untungnya si piu gk tau gue lesbi"" ke lu wkwk","taunya dia jga ""untungnya si piu gk tau gue lesbi"" ke lu wkwk",taunya dia jga untungnya si piu gk tau gue lesbi ke lu wkwk,tahunya  dia juga untungnya si piu tidak tahu saya lesbi ke kamu wkwk,tahunya dia juga untungnya si piu tidak tahu saya lesbi ke kamu wkwk,tahunya untungnya piu lesbi wkwk,tahu untung piu lesbi wkwk,"['tahu', 'untung', 'piu', 'lesbi', 'wkwk']",tahu untung piu lesbi wkwk,7,Positive
Jangan2 dia penyuka sesama jenis lesbi hehehe,jangan2 dia penyuka sesama jenis lesbi hehehe,jangan dia penyuka sesama jenis lesbi hehehe,jangan dia penyuka sesama jenis lesbi hehehe,jangan dia penyuka sesama jenis lesbi hehehe,penyuka jenis lesbi hehehe,suka jenis lesbi hehehe,"['suka', 'jenis', 'lesbi', 'hehehe']",suka jenis lesbi hehehe,3,Positive
wkwkw itu malah emg lu nya yg lgi ga naksir seseorang bukan berarti lesbi aplgi lu ada ketertarikan ke lawan jenis mau itu chara 2d atau idol,wkwkw itu malah emg lu nya yg lgi ga naksir seseorang bukan berarti lesbi aplgi lu ada ketertarikan ke lawan jenis mau itu chara 2d atau idol,wkwkw itu malah emg lu nya yg lgi ga naksir seseorang bukan berarti lesbi aplgi lu ada ketertarikan ke lawan jenis mau itu chara d atau idol,wkwkw itu malah memang kamu nya yang  lagi  tidak naksir seseorang bukan berarti lesbi aplgi kamu ada ketertarikan ke lawan jenis mau itu chara d atau idol,wkwkw itu malah memang kamu nya yang lagi tidak naksir seseorang bukan berarti lesbi aplgi kamu ada ketertarikan ke lawan jenis mau itu chara d atau idol,wkwkw naksir lesbi aplgi ketertarikan lawan jenis chara idol,wkwkw naksir lesbi aplgi tari lawan jenis chara idol,"['wkwkw', 'naksir', 'lesbi', 'aplgi', 'tari', 'lawan', 'jenis', 'chara', 'idol']",wkwkw naksir lesbi aplgi tari lawan jenis chara idol,2,Positive
ini lapak khusus gay sm lesbi y kak,ini lapak khusus gay sm lesbi y kak,ini lapak khusus gay sm lesbi y kak,ini lapak khusus gay sama  lesbi y kak,ini lapak khusus gay sama lesbi y kak,lapak khusus gay lesbi y,lapak khusus gay lesbi y,"['lapak', 'khusus', 'gay', 'lesbi', 'y']",lapak khusus gay lesbi y,0,Neutral
gimmick lesbi biar gak keliatan kalo punya cowok,gimmick lesbi biar gak keliatan kalo punya cowok,gimmick lesbi biar gak keliatan kalo punya cowok,gimmick lesbi biar tidak kelihatan  kalau  punya cowok,gimmick lesbi biar tidak kelihatan kalau punya cowok,gimmick lesbi biar cowok,gimmick lesbi biar cowok,"['gimmick', 'lesbi', 'biar', 'cowok']",gimmick lesbi biar cowok,1,Positive
"mau yg lesbi mau yg homo, sama2 gw demen","mau yg lesbi mau yg homo, sama2 gw demen",mau yg lesbi mau yg homo sama gw demen,mau yang  lesbi mau yang  homo sama saya suka ,mau yang lesbi mau yang homo sama saya suka,lesbi homo suka,lesbi homo suka,"['lesbi', 'homo', 'suka']",lesbi homo suka,3,Positive
maaf aku bukan lesbi,maaf aku bukan lesbi,maaf aku bukan lesbi,maaf saya bukan lesbi,maaf saya bukan lesbi,maaf lesbi,maaf lesbi,"['maaf', 'lesbi']",maaf lesbi,2,Positive
"Ttp beda  cwo suka yuri krna itu udh kek norma yg biasa. Cwe suka yaoi krna mereka mau ngerebel dr norma yg ada. Bukan soal action cwo suka nntn lesbi & cwe suka nntn homo. Tp apa yg bkin mereka suka itu, jd penyebab knp reaksi masyarakat bisa beda.","ttp beda  cwo suka yuri krna itu udh kek norma yg biasa. cwe suka yaoi krna mereka mau ngerebel dr norma yg ada. bukan soal action cwo suka nntn lesbi & cwe suka nntn homo. tp apa yg bkin mereka suka itu, jd penyebab knp reaksi masyarakat bisa beda.",ttp beda cwo suka yuri krna itu udh kek norma yg biasa cwe suka yaoi krna mereka mau ngerebel dr norma yg ada bukan soal action cwo suka nntn lesbi cwe suka nntn homo tp apa yg bkin mereka suka itu jd penyebab knp reaksi masyarakat bisa beda,tetap  beda cowok  suka yuri karena  itu sudah kek norma yang  biasa cewek  suka yaoi karena  mereka mau ngerebel dari  norma yang  ada bukan soal action cowok  suka menonton lesbi cewek  suka menonton homo tapi apa yang  bikin  mereka suka itu jadi penyebab kenapa reaksi masyarakat bisa beda,tetap beda cowok suka yuri karena itu sudah seperti; norma yang biasa cewek suka yaoi karena mereka mau ngerebel dari norma yang ada bukan soal action cowok suka menonton lesbi cewek suka menonton homo tapi apa yang bikin mereka suka itu jadi penyebab kenapa reaksi masyarakat bisa beda,beda cowok suka yuri seperti; norma cewek suka yaoi ngerebel norma action cowok suka menonton lesbi cewek suka menonton homo bikin suka penyebab reaksi masyarakat beda,beda cowok suka yuri seperti norma cewek suka yaoi ngerebel norma action cowok suka tonton lesbi cewek suka tonton homo bikin suka sebab reaksi masyarakat beda,"['beda', 'cowok', 'suka', 'yuri', 'seperti', 'norma', 'cewek', 'suka', 'yaoi', 'ngerebel', 'norma', 'action', 'cowok', 'suka', 'tonton', 'lesbi', 'cewek', 'suka', 'tonton', 'homo', 'bikin', 'suka', 'sebab', 'reaksi', 'masyarakat', 'beda']",beda cowok suka yuri seperti norma cewek suka yaoi ngerebel norma action cowok suka tonton lesbi cewek suka tonton homo bikin suka sebab reaksi masyarakat beda,2,Positive
"kaget tapi ketawa ketawa, untungnya ga tau gue lesbi","kaget tapi ketawa ketawa, untungnya ga tau gue lesbi",kaget tapi ketawa ketawa untungnya ga tau gue lesbi,kaget tapi tertawa  tertawa  untungnya tidak tahu saya lesbi,kaget tapi tertawa tertawa untungnya tidak tahu saya lesbi,kaget tertawa tertawa untungnya lesbi,kaget tertawa tertawa untung lesbi,"['kaget', 'tertawa', 'tertawa', 'untung', 'lesbi']",kaget tertawa tertawa untung lesbi,16,Positive
"Aku suka muji mereka demi ngeboost kepercayaan diri plis, i'm not lesbi","aku suka muji mereka demi ngeboost kepercayaan diri plis, i'm not lesbi",aku suka muji mereka demi ngeboost kepercayaan diri plis im not lesbi,saya suka muji mereka demi ngeboost kepercayaan diri tolong  im not lesbi,saya suka muji mereka demi ngeboost kepercayaan diri tolong im not lesbi,suka muji ngeboost kepercayaan tolong not lesbi,suka muji ngeboost percaya tolong not lesbi,"['suka', 'muji', 'ngeboost', 'percaya', 'tolong', 'not', 'lesbi']",suka muji ngeboost percaya tolong not lesbi,10,Positive
"Temenku yg lesbi tau kalo yg disukai dia tuh straight n dia tuh sasimo(yang straight) tapi karena mungkin ya udah suka aja gtu ya, trus tambah lagi dipepet, yaudah deh pasrah aja dia karena suka","temenku yg lesbi tau kalo yg disukai dia tuh straight n dia tuh sasimo(yang straight) tapi karena mungkin ya udah suka aja gtu ya, trus tambah lagi dipepet, yaudah deh pasrah aja dia karena suka",temenku yg lesbi tau kalo yg disukai dia tuh straight n dia tuh sasimoyang straight tapi karena mungkin ya udah suka aja gtu ya trus tambah lagi dipepet yaudah deh pasrah aja dia karena suka,temenku yang  lesbi tahu kalau  yang  disukai dia tuh straight n dia tuh sasimoyang straight tapi karena mungkin ya sudah suka saja  begitu  ya terus  tambah lagi dipepet yaudah deh pasrah saja  dia karena suka,temenku yang lesbi tahu kalau yang disukai dia tuh straight n dia tuh sasimoyang straight tapi karena mungkin ya sudah suka saja begitu ya terus tambah lagi dipepet yaudah deh pasrah saja dia karena suka,temenku lesbi disukai straight sasimoyang straight ya suka ya dipepet yaudah pasrah suka,temenku lesbi suka straight sasimoyang straight ya suka ya pepet yaudah pasrah suka,"['temenku', 'lesbi', 'suka', 'straight', 'sasimoyang', 'straight', 'ya', 'suka', 'ya', 'pepet', 'yaudah', 'pasrah', 'suka']",temenku lesbi suka straight sasimoyang straight ya suka ya pepet yaudah pasrah suka,16,Positive
"Yang gua maksud itu cukup di tegasin, tanpa ba bi bu
Salah ya salah, keluar ya keluar
Gausah di undur lama-lama
Gausah di panas-panasin
Gua ngerasa iba karena ya udah terlalu jauh juga. Ini gua pribadi ya
Btw gua ga suka kopal kapal lesbi najis","yang gua maksud itu cukup di tegasin, tanpa ba bi bu
salah ya salah, keluar ya keluar
gausah di undur lama-lama
gausah di panas-panasin
gua ngerasa iba karena ya udah terlalu jauh juga. ini gua pribadi ya
btw gua ga suka kopal kapal lesbi najis",yang gua maksud itu cukup di tegasin tanpa ba bi busalah ya salah keluar ya keluargausah di undur lamalamagausah di panaspanasingua ngerasa iba karena ya udah terlalu jauh juga ini gua pribadi yabtw gua ga suka kopal kapal lesbi najis,yang saya  maksud itu cukup di tegasin tanpa ba bi busalah ya salah keluar ya keluargausah di undur lamalamagausah di panaspanasingua merasa  iba karena ya sudah terlalu jauh juga ini saya  pribadi yabtw saya  tidak suka kopal kapal lesbi najis,yang saya maksud itu cukup di tegasin tanpa ba bi busalah ya salah keluar ya keluargausah di undur lamalamagausah di panaspanasingua merasa iba karena ya sudah terlalu jauh juga ini saya pribadi yabtw saya tidak suka kopal kapal lesbi najis,maksud tegasin bi busalah ya salah ya keluargausah undur lamalamagausah panaspanasingua ya pribadi yabtw suka kopal kapal lesbi najis,maksud tegasin bi busa ya salah ya keluargausah undur lamalamagausah panaspanasingua ya pribadi yabtw suka kopal kapal lesbi najis,"['maksud', 'tegasin', 'bi', 'busa', 'ya', 'salah', 'ya', 'keluargausah', 'undur', 'lamalamagausah', 'panaspanasingua', 'ya', 'pribadi', 'yabtw', 'suka', 'kopal', 'kapal', 'lesbi', 'najis']",maksud tegasin bi busa ya salah ya keluargausah undur lamalamagausah panaspanasingua ya pribadi yabtw suka kopal kapal lesbi najis,7,Positive
BOLEH NYA GAY SAMA LESBI,boleh nya gay sama lesbi,boleh nya gay sama lesbi,boleh nya gay sama lesbi,boleh nya gay sama lesbi,gay lesbi,gay lesbi,"['gay', 'lesbi']",gay lesbi,0,Neutral
"YAKAN COOO GA BANYAK JOROKNYA cuma emg temanya aja all about s*x kayak gay lesbi dll kannnn bkn aneh""","yakan cooo ga banyak joroknya cuma emg temanya aja all about s*x kayak gay lesbi dll kannnn bkn aneh""",yakan cooo ga banyak joroknya cuma emg temanya aja all about sx kayak gay lesbi dll kannnn bkn aneh,yakan cooo tidak banyak joroknya cuma memang temanya saja  all about sx mirip  gay lesbi dan lain kannnn bukan aneh,yakan cooo tidak banyak joroknya cuma memang temanya saja all about sx mirip gay lesbi dan lain kannnn bukan aneh,yakan cooo joroknya temanya about sx gay lesbi kannnn aneh,yakan cooo jorok tema about sx gay lesbi kannnn aneh,"['yakan', 'cooo', 'jorok', 'tema', 'about', 'sx', 'gay', 'lesbi', 'kannnn', 'aneh']",yakan cooo jorok tema about sx gay lesbi kannnn aneh,-1,Negative
"karna w lesbi tp ga cakep, akan gue terima ini sbg compliment ","karna w lesbi tp ga cakep, akan gue terima ini sbg compliment",karna w lesbi tp ga cakep akan gue terima ini sbg compliment,karena  saya lesbi tapi tidak cakap  akan saya terima ini sebagai  compliment,karena saya lesbi tapi tidak cakap akan saya terima ini sebagai compliment,lesbi cakap terima compliment,lesbi cakap terima compliment,"['lesbi', 'cakap', 'terima', 'compliment']",lesbi cakap terima compliment,4,Positive
"Gw ada temen yg beneran lesbi trus dia suka sama temen gw yg straight, trus temen gw yg straight itu jahat banget njir jadi manfaatin temen gw itu","gw ada temen yg beneran lesbi trus dia suka sama temen gw yg straight, trus temen gw yg straight itu jahat banget njir jadi manfaatin temen gw itu",gw ada temen yg beneran lesbi trus dia suka sama temen gw yg straight trus temen gw yg straight itu jahat banget njir jadi manfaatin temen gw itu,saya ada teman  yang  benar  lesbi terus  dia suka sama teman  saya yang  straight terus  teman  saya yang  straight itu jahat sekali  njir jadi manfaatin teman  saya itu,saya ada teman yang benar lesbi terus dia suka sama teman saya yang straight terus teman saya yang straight itu jahat sekali njir jadi manfaatin teman saya itu,teman lesbi suka teman straight teman straight jahat njir manfaatin teman,teman lesbi suka teman straight teman straight jahat njir manfaatin teman,"['teman', 'lesbi', 'suka', 'teman', 'straight', 'teman', 'straight', 'jahat', 'njir', 'manfaatin', 'teman']",teman lesbi suka teman straight teman straight jahat njir manfaatin teman,-4,Negative
"abangnya bilang, biasanya yang cakep pada gay/lesbi...","abangnya bilang, biasanya yang cakep pada gay/lesbi...",abangnya bilang biasanya yang cakep pada gaylesbi,abangnya bilang biasanya yang cakap  pada gaylesbi,abangnya bilang biasanya yang cakap pada gaylesbi,abangnya bilang cakap gaylesbi,abang bilang cakap gaylesbi,"['abang', 'bilang', 'cakap', 'gaylesbi']",abang bilang cakap gaylesbi,2,Positive
mau lesbi sm lu yin,mau lesbi sm lu yin,mau lesbi sm lu yin,mau lesbi sama  kamu yin,mau lesbi sama kamu yin,lesbi yin,lesbi yin,"['lesbi', 'yin']",lesbi yin,0,Neutral
Gambaran lesbi ,gambaran lesbi,gambaran lesbi,gambaran lesbi,gambaran lesbi,gambaran lesbi,gambar lesbi,"['gambar', 'lesbi']",gambar lesbi,2,Positive
IKR KAYA GAGUNA BGT WOY.. hoyo ngebebasin lu berimajinasi kenapa lu ngegatekeep lagian mau dia lesbi gay straight juga ga ngubah fakta that she will stay as fictional character pls daripada ngurusin sesuatu yg jelas2 ganyata mending bebenah urusan ril lep lu ANJENGGG,ikr kaya gaguna bgt woy.. hoyo ngebebasin lu berimajinasi kenapa lu ngegatekeep lagian mau dia lesbi gay straight juga ga ngubah fakta that she will stay as fictional character pls daripada ngurusin sesuatu yg jelas2 ganyata mending bebenah urusan ril lep lu anjenggg,ikr kaya gaguna bgt woy hoyo ngebebasin lu berimajinasi kenapa lu ngegatekeep lagian mau dia lesbi gay straight juga ga ngubah fakta that she will stay as fictional character pls daripada ngurusin sesuatu yg jelas ganyata mending bebenah urusan ril lep lu anjenggg,ikr kaya gaguna sangat  woy hoyo ngebebasin kamu berimajinasi kenapa kamu ngegatekeep lagi  mau dia lesbi gay straight juga tidak ngubah fakta that she will stay as fictional character pls daripada ngurusin sesuatu yang  jelas ganyata mending bebenah urusan ril lep kamu anjenggg,ikr kaya gaguna sangat woy hoyo ngebebasin kamu berimajinasi kenapa kamu ngegatekeep lagi mau dia lesbi gay straight juga tidak ngubah fakta that she will stay as fictional character pls daripada ngurusin sesuatu yang jelas ganyata mending bebenah urusan ril lep kamu anjenggg,ikr kaya gaguna woy hoyo ngebebasin berimajinasi ngegatekeep lesbi gay straight ngubah fakta that she will stay as fictional character pls ngurusin ganyata mending bebenah urusan lep anjenggg,ikr kaya gaguna woy hoyo ngebebasin imajinasi ngegatekeep lesbi gay straight ngubah fakta that she will stay as fictional character pls ngurusin ganyata mending bebenah urus lep anjenggg,"['ikr', 'kaya', 'gaguna', 'woy', 'hoyo', 'ngebebasin', 'imajinasi', 'ngegatekeep', 'lesbi', 'gay', 'straight', 'ngubah', 'fakta', 'that', 'she', 'will', 'stay', 'as', 'fictional', 'character', 'pls', 'ngurusin', 'ganyata', 'mending', 'bebenah', 'urus', 'lep', 'anjenggg']",ikr kaya gaguna woy hoyo ngebebasin imajinasi ngegatekeep lesbi gay straight ngubah fakta that she will stay as fictional character pls ngurusin ganyata mending bebenah urus lep anjenggg,0,Neutral
yang ril lesbi aja masih suka mainin anak orang.,yang ril lesbi aja masih suka mainin anak orang.,yang ril lesbi aja masih suka mainin anak orang,yang ril lesbi saja  masih suka mainin anak orang,yang ril lesbi saja masih suka mainin anak orang,lesbi suka mainin anak orang,lesbi suka mainin anak orang,"['lesbi', 'suka', 'mainin', 'anak', 'orang']",lesbi suka mainin anak orang,-2,Negative
LESBI BGT RAMBUTNYA,lesbi bgt rambutnya,lesbi bgt rambutnya,lesbi sangat  rambutnya,lesbi sangat rambutnya,lesbi rambutnya,lesbi rambut,"['lesbi', 'rambut']",lesbi rambut,0,Neutral
OOMF MAIN GAME LESBI BIN YURI JG OMG,oomf main game lesbi bin yuri jg omg,oomf main game lesbi bin yuri jg omg,oomf main game lesbi bin yuri juga omg,oomf main game lesbi bin yuri juga omg,oomf main game lesbi yuri,oomf main game lesbi yuri,"['oomf', 'main', 'game', 'lesbi', 'yuri']",oomf main game lesbi yuri,4,Positive
"jing, saya g lesbi jing. kan temenan, dia yg salah kok malah baper","jing, saya g lesbi jing. kan temenan, dia yg salah kok malah baper",jing saya g lesbi jing kan temenan dia yg salah kok malah baper,anjing  saya tidak lesbi anjing  kan temenan dia yang  salah kok malah baper,anjing saya tidak lesbi anjing kan temenan dia yang salah kok malah baper,anjing lesbi anjing temenan salah baper,anjing lesbi anjing temenan salah baper,"['anjing', 'lesbi', 'anjing', 'temenan', 'salah', 'baper']",anjing lesbi anjing temenan salah baper,-13,Negative
"hlo cntik, l nya lesbi","hlo cntik, l nya lesbi",hlo cntik l nya lesbi,hlo cntik l nya lesbi,hlo cntik l nya lesbi,hlo cntik lesbi,hlo cntik lesbi,"['hlo', 'cntik', 'lesbi']",hlo cntik lesbi,0,Neutral
"Kalo di kkn dia juga merayu Ayu sih, wow jin lesbi","kalo di kkn dia juga merayu ayu sih, wow jin lesbi",kalo di kkn dia juga merayu ayu sih wow jin lesbi,kalau  di kkn dia juga merayu ayu sih wow jin lesbi,kalau di kkn dia juga merayu ayu sih wow jin lesbi,merayu ayu jin lesbi,rayu ayu jin lesbi,"['rayu', 'ayu', 'jin', 'lesbi']",rayu ayu jin lesbi,-7,Negative
"Ini aku pas jaman sekolah, sekarang udah sadar kalau aku stricly lesbi ","ini aku pas jaman sekolah, sekarang udah sadar kalau aku stricly lesbi",ini aku pas jaman sekolah sekarang udah sadar kalau aku stricly lesbi,ini saya pas jaman sekolah sekarang sudah sadar kalau saya stricly lesbi,ini saya pas jaman sekolah sekarang sudah sadar kalau saya stricly lesbi,jaman sekolah sadar stricly lesbi,jaman sekolah sadar stricly lesbi,"['jaman', 'sekolah', 'sadar', 'stricly', 'lesbi']",jaman sekolah sadar stricly lesbi,3,Positive
otw selbi kah maniez (seleb lesbi),otw selbi kah maniez (seleb lesbi),otw selbi kah maniez seleb lesbi,otw selbi kah maniez seleb lesbi,otw selbi kah maniez seleb lesbi,otw selbi maniez seleb lesbi,otw selbi maniez seleb lesbi,"['otw', 'selbi', 'maniez', 'seleb', 'lesbi']",otw selbi maniez seleb lesbi,0,Neutral
Smaa kek gw nder.. tp gue suka ma cewe di irl cuma 1 cewek aja kadang bingung jga gue ni beneran lesbi apa nggak,smaa kek gw nder.. tp gue suka ma cewe di irl cuma 1 cewek aja kadang bingung jga gue ni beneran lesbi apa nggak,smaa kek gw nder tp gue suka ma cewe di irl cuma cewek aja kadang bingung jga gue ni beneran lesbi apa nggak,smaa kek saya nder tapi saya suka ma cewek  di irl cuma cewek saja  kadang bingung juga saya ini  benar  lesbi apa tidak,smaa seperti; saya nder tapi saya suka ma cewek di irl cuma cewek saja kadang bingung juga saya ini benar lesbi apa tidak,smaa seperti; nder suka cewek irl cewek kadang bingung lesbi,smaa seperti nder suka cewek irl cewek kadang bingung lesbi,"['smaa', 'seperti', 'nder', 'suka', 'cewek', 'irl', 'cewek', 'kadang', 'bingung', 'lesbi']",smaa seperti nder suka cewek irl cewek kadang bingung lesbi,5,Positive
Hiunya lesbi,hiunya lesbi,hiunya lesbi,hiunya lesbi,hiunya lesbi,hiunya lesbi,hiu lesbi,"['hiu', 'lesbi']",hiu lesbi,0,Neutral
"ternyata capek juga bolak balik mana telat tadi mulai nya, tapi gapapa aku bisa melihat demit lesbi ","ternyata capek juga bolak balik mana telat tadi mulai nya, tapi gapapa aku bisa melihat demit lesbi",ternyata capek juga bolak balik mana telat tadi mulai nya tapi gapapa aku bisa melihat demit lesbi,ternyata lelah juga bolak balik mana telat tadi mulai nya tapi tidak apa-apa saya bisa melihat demit lesbi,ternyata lelah juga bolak balik mana telat tadi mulai nya tapi tidak apa-apa saya bisa melihat demit lesbi,lelah bolak telat apa-apa demit lesbi,lelah bolak telat apa demit lesbi,"['lelah', 'bolak', 'telat', 'apa', 'demit', 'lesbi']",lelah bolak telat apa demit lesbi,-4,Negative
kalo lesbi itu mungkin gaada ketertarikan samsek atau bahkan ga sedikit pun picky ke cowo(?) jadi keknya kamu emang bi,kalo lesbi itu mungkin gaada ketertarikan samsek atau bahkan ga sedikit pun picky ke cowo(?) jadi keknya kamu emang bi,kalo lesbi itu mungkin gaada ketertarikan samsek atau bahkan ga sedikit pun picky ke cowo jadi keknya kamu emang bi,kalau  lesbi itu mungkin tidak ada ketertarikan samsek atau bahkan tidak sedikit pun picky ke cowok  jadi sepertinya  kamu memang  bi,kalau lesbi itu mungkin tidak ada ketertarikan samsek atau bahkan tidak sedikit pun picky ke cowok jadi sepertinya kamu memang bi,lesbi ketertarikan samsek picky cowok bi,lesbi tari samsek picky cowok bi,"['lesbi', 'tari', 'samsek', 'picky', 'cowok', 'bi']",lesbi tari samsek picky cowok bi,1,Positive
"Ak kembali ke setelan awal, gambar karakter homo jadi lesbi","ak kembali ke setelan awal, gambar karakter homo jadi lesbi",ak kembali ke setelan awal gambar karakter homo jadi lesbi,saya  kembali ke setelan awal gambar karakter homo jadi lesbi,saya kembali ke setelan awal gambar karakter homo jadi lesbi,setelan gambar karakter homo lesbi,setel gambar karakter homo lesbi,"['setel', 'gambar', 'karakter', 'homo', 'lesbi']",setel gambar karakter homo lesbi,2,Positive
Brrti km jg lesbi yhq….,brrti km jg lesbi yhq….,brrti km jg lesbi yhq,berarti  kamu juga lesbi yhq,berarti kamu juga lesbi yhq,lesbi yhq,lesbi yhq,"['lesbi', 'yhq']",lesbi yhq,0,Neutral
"Orang kalo fomo tuh ke tempat-tempat yang lagi viral, bukan fomo jadi lesbi, jadi begini nih kalo pas lahirnya disetelin kucing lesbian.","orang kalo fomo tuh ke tempat-tempat yang lagi viral, bukan fomo jadi lesbi, jadi begini nih kalo pas lahirnya disetelin kucing lesbian.",orang kalo fomo tuh ke tempattempat yang lagi viral bukan fomo jadi lesbi jadi begini nih kalo pas lahirnya disetelin kucing lesbian,orang kalau  fomo tuh ke tempattempat yang lagi viral bukan fomo jadi lesbi jadi begini nih kalau  pas lahirnya disetelin kucing lesbian,orang kalau fomo tuh ke tempattempat yang lagi viral bukan fomo jadi lesbi jadi begini nih kalau pas lahirnya disetelin kucing lesbian,orang fomo tempattempat viral fomo lesbi lahirnya disetelin kucing lesbian,orang fomo tempattempat viral fomo lesbi lahir tin kucing lesbian,"['orang', 'fomo', 'tempattempat', 'viral', 'fomo', 'lesbi', 'lahir', 'tin', 'kucing', 'lesbian']",orang fomo tempattempat viral fomo lesbi lahir tin kucing lesbian,3,Positive
lagian lesbi banyak gaya,lagian lesbi banyak gaya,lagian lesbi banyak gaya,lagi  lesbi banyak gaya,lagi lesbi banyak gaya,lesbi gaya,lesbi gaya,"['lesbi', 'gaya']",lesbi gaya,0,Neutral
"dia lesbi, bukan caleg","dia lesbi, bukan caleg",dia lesbi bukan caleg,dia lesbi bukan caleg,dia lesbi bukan caleg,lesbi caleg,lesbi caleg,"['lesbi', 'caleg']",lesbi caleg,0,Neutral
aku ajari agar dia menjadi lesbi yang amanah,aku ajari agar dia menjadi lesbi yang amanah,aku ajari agar dia menjadi lesbi yang amanah,saya ajari agar dia menjadi lesbi yang amanah,saya ajari agar dia menjadi lesbi yang amanah,ajari lesbi amanah,ajar lesbi amanah,"['ajar', 'lesbi', 'amanah']",ajar lesbi amanah,6,Positive
